Unnamed: 0;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;-0.08;-0.50;-0.06;-0.03;-0.18;-5.14;-0.76;-7.09;-2.36;-0.04;0.00;0.01
&nbspP/L;-11.25;-0.56;-0.90;-2.00;-0.16;-0.40;-1.50;-0.10;-0.56;-44.48;0.00;166.05
&nbspVPA;-0.22;-0.74;-0.15;-0.18;-0.37;-33.44;-2.13;-22.83;-12.40;-0.88;-0.84;-0.78
&nbspP/VP;-4.02;-0.38;-0.33;-0.33;-0.08;-0.06;-0.54;-0.03;-0.11;-1.99;-2.10;-2.81
&nbspP/EBIT;14.06;-0.85;-1.94;-7.00;-0.32;-1.28;-7.24;-0.14;-1.69;0.00;67.10;83.03
&nbspP/EBITDA;15.34;-0.83;-1.78;-9.28;-0.32;0.00;0.00;-0.07;0.00;0.00;94.65;73.09
&nbspP/Ativos;0.62;0.23;0.13;0.15;0.19;0.18;0.92;0.10;0.17;3.51;3.05;3.02
&nbspEbitda;4;-21;-7;-2;-22;0;0;-55;0;0;1;2
&nbspMarg. Ebitda;11%;-268%;-55%;-8%;-1.078%;0%;0%;0%;0%;0%;5%;6%
&nbspPSR;1.70;2.24;0.97;0.74;3.50;0.00;0.00;0.00;1.69;7.41;4.79;4.61
&nbspROE;36%;68%;37%;16%;50%;15%;36%;31%;19%;4%;0%;-2%
&nbspROA;-5%;-42%;-14%;-7%;-116%;-46%;-62%;-97%;-30%;-8%;0%;2%
&nbspROIC;5%;-30%;-7%;-2%;-69%;-17%;-14%;-79%;-11%;0%;5%;4%
&nbspEV/EBIT;38.27;-7.39;-25.18;-77.05;-7.32;-32.62;-25.52;-5.89;-36.27;0.00;73.05;83.30
&nbspEV/EBITDA;41.76;-7.22;-23.06;-102.19;-7.48;0.00;0.00;-2.79;0.00;0.00;103.03;73.33
&nbspDiv. Yield;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
&nbspDiv. Payout;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%
&nbspBeta;1.02;0.58;0.00;0.71;0.25;15.71;0.65;0.45;1.27;0.18;0.87;0.80
&nbspValorização;-17%;-68%;-83%;20%;-50%;-49%;-44%;-73%;-38%;21%;-2%;29%
&nbspNegócios/dia;81;58;44;29;50;23;65;867;316;572;5506;2070
&nbspVolume diário;0;0;0;0;0;0;0;1;0;0;8;5
