Unnamed: 0;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;7.21;8.30;10.72;12.48;11.17;10.30;12.06;13.60;16.95;17.27;0.38;0.42
&nbspP/L;12.76;13.23;26.11;17.79;19.25;28.17;55.45;29.41;18.29;34.10;57.93;51.79
&nbspVPA;37.79;43.47;50.98;60.42;68.13;75.36;83.57;93.44;101.94;116.03;6.67;6.71
&nbspP/VP;2.43;2.53;5.49;3.67;3.16;3.85;8.01;4.28;3.04;5.08;3.27;3.21
&nbspP/EBIT;8.26;8.82;18.28;13.00;12.75;15.57;33.15;19.20;12.57;22.17;35.51;36.25
&nbspP/EBITDA;8.26;9.14;18.69;12.84;12.76;15.87;33.41;19.47;12.65;21.70;15.73;13.47
&nbspP/Ativos;1.12;1.14;2.56;1.69;1.37;1.74;3.72;1.92;1.41;1.82;1.51;1.45
&nbspEbitda;51;55;68;79;77;83;91;94;111;123;210;242
&nbspMarg. Ebitda;4%;4%;4%;5%;4%;4%;4%;4%;5%;5%;7%;8%
&nbspPSR;0.35;0.37;0.84;0.58;0.52;0.67;1.43;0.81;0.58;0.98;1.17;1.13
&nbspROE;19%;19%;21%;21%;16%;14%;14%;15%;17%;15%;6%;6%
&nbspROA;9%;9%;10%;10%;7%;6%;7%;7%;8%;5%;3%;3%
&nbspROIC;23%;22%;22%;19%;15%;16%;17%;15%;16%;11%;7%;6%
&nbspEV/EBIT;63.37;56.48;46.27;42.07;43.33;39.13;35.87;35.10;29.78;30.57;37.11;40.05
&nbspEV/EBITDA;63.35;58.54;47.32;41.56;43.37;39.86;36.15;35.61;29.97;29.92;16.44;14.88
&nbspDiv. Yield;0,83%;0,79%;0,00%;0,11%;0,17%;0,06%;0,00%;0,56%;1,41%;0,47%;0,55%;0,56%
&nbspDiv. Payout;24%;24%;20%;19%;25%;26%;27%;27%;22%;26%;32%;30%
&nbspBeta;0.02;0.65;0.42;0.37;-0.01;0.20;-0.02;-0.01;0.19;-0.12;0.89;0.49
&nbspValorização;57%;17%;153%;-21%;3%;35%;139%;-38%;-25%;91%;11%;2%
&nbspNegócios/dia;5;5;9;9;9;13;12;5;4;5;1968;3737
&nbspVolume diário;0;0;0;0;0;0;1;1;0;1;11;17
