Unnamed: 0;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;-0.86;3.62;3.49;6.76;3.79;6.41;8.20
&nbspP/L;-4.41;1.66;4.50;5.17;6.60;5.41;11.08
&nbspVPA;14.69;18.14;19.38;21.93;19.88;25.05;27.33
&nbspP/VP;0.26;0.33;0.81;1.60;1.26;1.38;3.32
&nbspP/EBIT;-14.70;2.90;3.80;5.24;6.73;7.50;13.59
&nbspP/EBITDA;140.24;16.04;4.01;5.63;7.54;6.45;11.68
&nbspP/Ativos;0.16;0.22;0.58;1.21;0.92;0.95;2.40
&nbspEbitda;1;9;91;144;96;156;226
&nbspMarg. Ebitda;0%;2%;16%;23%;16%;21%;28%
&nbspPSR;0.21;0.29;0.64;1.28;1.23;1.38;3.23
&nbspROE;-6%;20%;18%;31%;19%;26%;30%
&nbspROA;-4%;13%;13%;23%;14%;17%;22%
&nbspROIC;-1%;9%;18%;26%;19%;21%;28%
&nbspEV/EBIT;-430.13;52.18;25.63;16.01;21.69;16.01;11.40
&nbspEV/EBITDA;4103.00;288.97;27.09;17.21;24.33;13.77;9.79
&nbspDiv. Yield;0,00%;0,00%;2,68%;13,58%;3,04%;0,40%;1,63%
&nbspDiv. Payout;0%;6%;10%;69%;15%;2%;9%
&nbspBeta;0.19;-0.03;0.40;0.25;0.35;0.40;0.34
&nbspValorização;29%;81%;177%;164%;-9%;37%;160%
&nbspNegócios/dia;3;19;48;50;83;54;90
&nbspVolume diário;0;0;0;0;1;0;1
