Unnamed: 0;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;1.94;5.55;4.80;3.23;3.69;2.68;-5.51;-3.28;-0.41;2.27;1.10;2.19;4.26
&nbspP/L;15.49;4.25;3.20;5.59;5.15;3.22;-0.27;-1.32;-12.44;3.25;7.84;4.49;3.03
&nbspVPA;51.69;44.32;59.49;64.98;73.10;75.70;33.39;24.23;23.77;25.74;25.04;30.01;33.37
&nbspP/VP;0.58;0.53;0.26;0.28;0.26;0.11;0.05;0.18;0.21;0.29;0.35;0.33;0.39
&nbspP/EBIT;15.38;2.70;2.21;3.21;2.88;1.24;-0.41;-2.53;4.57;1.81;2.96;2.06;1.70
&nbspP/EBITDA;4.86;1.77;1.36;1.80;1.65;0.70;-1.89;4.67;1.57;1.23;1.79;1.41;1.30
&nbspP/Ativos;0.27;0.23;0.13;0.14;0.13;0.06;0.02;0.08;0.10;0.14;0.17;0.17;0.20
&nbspEbitda;2549;5498;4640;4148;4747;5097;-728;891;3184;5915;5249;7608;10778
&nbspMarg. Ebitda;10%;18%;13%;11%;12%;12%;-2%;2%;9%;13%;13%;17%;21%
&nbspPSR;0.47;0.31;0.18;0.20;0.20;0.08;0.03;0.11;0.14;0.16;0.24;0.24;0.28
&nbspROE;4%;13%;8%;5%;5%;4%;-17%;-14%;-2%;9%;4%;7%;13%
&nbspROA;2%;5%;4%;2%;3%;2%;-7%;-6%;-1%;4%;2%;4%;7%
&nbspROIC;2%;9%;7%;5%;5%;5%;-6%;-4%;2%;9%;7%;10%;15%
&nbspEV/EBIT;32.76;8.12;9.04;12.49;10.78;10.83;-10.92;-18.70;26.86;6.89;7.96;4.61;2.97
&nbspEV/EBITDA;10.35;5.33;5.59;6.99;6.17;6.10;-50.01;34.50;9.22;4.69;4.81;3.14;2.28
&nbspDiv. Yield;1,77%;2,37%;3,46%;2,27%;1,63%;3,48%;7,28%;0,00%;0,39%;1,49%;1,73%;1,83%;3,49%
&nbspDiv. Payout;43%;39%;27%;37%;25%;37%;-5%;-2%;-23%;25%;38%;12%;14%
&nbspBeta;1.01;0.92;1.12;0.98;0.70;0.61;1.14;1.62;1.20;1.05;0.85;1.07;0.78
&nbspValorização;66%;-22%;-34%;19%;2%;-53%;-81%;200%;20%;42%;18%;9%;30%
&nbspNegócios/dia;36;19;14;39;59;43;119;131;177;119;155;302;327
&nbspVolume diário;0;0;0;1;1;0;0;1;1;0;0;1;1
