Unnamed: 0;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;3.31;-6.24;7.39;8.53;12.36;10.65;4.74;4.79;3.51;3.31;3.54;5.01;2.47;2.49;1.96;0.27;0.80;1.19;2.14;1.89;2.20
&nbspP/L;9.52;-3.76;5.02;6.67;6.47;8.56;7.13;5.23;6.96;6.26;7.70;4.37;5.75;5.53;3.28;29.52;8.05;12.59;7.27;8.69;6.69
&nbspVPA;43.52;35.22;40.63;44.87;44.45;47.01;17.91;19.54;16.58;16.82;17.22;14.13;10.04;8.97;10.32;10.27;11.38;10.93;10.89;11.51;11.79
&nbspP/VP;0.72;0.67;0.91;1.27;1.80;1.94;1.89;1.28;1.47;1.23;1.59;1.55;1.41;1.54;0.62;0.77;0.56;1.38;1.43;1.43;1.25
&nbspP/EBIT;5.91;-6.96;5.16;5.25;7.04;6.42;5.00;3.67;4.58;3.88;4.22;4.57;4.10;3.11;1.98;5.49;3.05;8.78;7.31;5.29;3.89
&nbspP/EBITDA;0.00;0.00;0.00;0.00;5.32;4.97;4.04;3.03;3.75;3.07;3.43;3.67;3.45;2.72;1.64;10.22;2.31;6.55;5.59;4.37;3.33
&nbspP/Ativos;0.38;0.28;0.40;0.55;0.65;0.64;0.68;0.51;0.52;0.42;0.50;0.46;0.60;0.50;0.20;0.24;0.19;0.37;0.46;0.46;0.42
&nbspEbitda;0;0;0;0;2436;2975;4062;4100;4038;4614;5437;5083;5186;6381;4931;971;3492;3345;4068;5695;6732
&nbspMarg. Ebitda;0%;0%;0%;0%;30%;31%;40%;38%;35%;36%;35%;28%;35%;33%;23%;5%;16%;15%;16%;23%;26%
&nbspPSR;1.09;0.74;1.07;1.29;1.57;1.53;1.60;1.14;1.29;1.10;1.19;1.01;1.22;0.89;0.38;0.53;0.37;0.98;0.90;0.99;0.85
&nbspROE;8%;-18%;18%;19%;28%;23%;26%;25%;21%;20%;21%;35%;25%;28%;19%;3%;7%;11%;20%;16%;19%
&nbspROA;4%;-7%;8%;8%;10%;7%;10%;10%;8%;7%;6%;10%;10%;9%;6%;1%;2%;3%;6%;5%;6%
&nbspROIC;7%;-4%;8%;11%;10%;10%;14%;14%;12%;13%;13%;12%;17%;18%;12%;5%;7%;4%;7%;10%;13%
&nbspEV/EBIT;28.30;-45.66;21.83;14.70;14.40;12.70;8.90;8.55;9.95;8.64;7.74;8.26;6.40;5.95;8.15;19.25;12.83;13.93;11.28;6.71;5.27
&nbspEV/EBITDA;0.00;0.00;0.00;0.00;10.89;9.83;7.20;7.06;8.14;6.83;6.28;6.63;5.38;5.21;6.77;35.80;9.71;10.39;8.63;5.54;4.50
&nbspDiv. Yield;2,06%;8,77%;4,18%;1,86%;1,72%;6,58%;0,00%;7,11%;15,57%;13,59%;6,45%;17,67%;3,87%;23,84%;9,47%;8,12%;3,74%;1,13%;4,62%;3,72%;8,34%
&nbspDiv. Payout;0%;0%;0%;0%;29%;120%;59%;36%;43%;81%;84%;41%;148%;125%;32%;201%;55%;29%;22%;21%;18%
&nbspBeta;1.05;1.00;1.10;1.17;1.06;1.02;0.65;0.50;0.34;0.34;0.50;0.29;0.53;0.78;0.82;1.46;1.51;1.07;0.84;1.06;0.92
&nbspValorização;43%;-19%;67%;52%;43%;23%;10%;-18%;29%;3%;35%;18%;-2%;17%;-51%;42%;-20%;131%;4%;8%;-7%
&nbspNegócios/dia;34;34;44;81;73;88;59;112;202;194;240;423;476;322;264;266;562;2551;3723;5277;2444
&nbspVolume diário;1;0;0;1;2;2;3;2;2;2;2;5;3;2;1;1;4;12;27;21;11
