Unnamed: 0;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;3.30;2.78;5.10;5.79;1.36;-0.13;0.29;-7.41;1.80;6.66;3.42;-1.16;4.21;8.95
&nbspP/L;5.81;13.86;8.50;5.47;24.06;-186.52;49.49;-0.67;8.25;4.31;9.26;-33.06;15.12;8.34
&nbspVPA;16.98;16.78;20.09;24.81;26.65;25.84;25.57;22.65;22.63;25.19;28.62;27.47;32.34;34.95
&nbspP/VP;1.13;2.30;2.16;1.28;1.23;0.97;0.56;0.22;0.66;1.14;1.11;1.39;1.97;2.14
&nbspP/EBIT;4.54;9.99;6.17;5.11;20.13;461.40;87.69;-0.70;6.65;3.85;8.94;-32.10;15.19;8.36
&nbspP/EBITDA;3.48;8.09;5.43;5.11;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
&nbspP/Ativos;0.51;1.11;1.06;1.03;1.04;0.81;0.47;0.18;0.51;0.89;1.04;1.32;1.96;1.94
&nbspEbitda;1926;1665;2787;2168;0;0;0;0;0;0;0;0;0;0
&nbspMarg. Ebitda;47%;59%;58%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%
&nbspPSR;1.64;4.78;3.13;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
&nbspROE;19%;17%;25%;23%;5%;-1%;1%;-33%;8%;26%;12%;-4%;13%;26%
&nbspROA;9%;8%;12%;19%;4%;0%;1%;-27%;6%;21%;11%;-4%;13%;23%
&nbspROIC;14%;12%;19%;21%;5%;0%;1%;-27%;9%;27%;12%;-4%;13%;26%
&nbspEV/EBIT;17.00;19.80;10.94;11.52;44.01;1324.93;442.80;-10.24;30.91;9.36;19.56;-58.82;16.66;7.75
&nbspEV/EBITDA;13.03;16.03;9.64;11.52;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
&nbspDiv. Yield;5,89%;3,04%;2,33%;5,36%;5,64%;5,42%;11,96%;20,64%;0,74%;4,98%;6,09%;3,66%;3,14%;7,30%
&nbspDiv. Payout;31%;37%;18%;27%;125%;-900%;539%;-12%;0%;8%;60%;-94%;61%;28%
&nbspBeta;1.20;1.32;1.27;1.07;0.86;1.14;0.79;1.42;1.68;1.22;0.87;1.06;0.87;0.87
&nbspValorização;-57%;92%;13%;-26%;6%;-23%;-35%;-60%;218%;110%;11%;28%;75%;12%
&nbspNegócios/dia;1921;2358;2592;3266;4040;5311;5880;7493;7231;7694;7822;8825;12384;15192
&nbspVolume diário;48;33;34;36;34;37;30;27;27;53;69;60;113;186
