Unnamed: 0;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;8.35;21.36;27.65;33.33;4.76;3.60;3.53;1.90;2.22;2.93;3.24;3.01;3.16;3.70;3.94;3.32;3.66;2.55;2.71;1.93;2.13
&nbspP/L;21.08;8.03;10.38;11.97;11.84;21.51;12.87;13.70;17.40;13.57;10.49;11.10;9.91;9.36;6.67;10.19;11.64;13.93;13.68;16.40;14.13
&nbspVPA;67.89;81.22;104.25;123.34;14.09;19.68;12.09;10.66;11.19;13.40;15.81;16.43;16.34;17.50;17.98;17.75;19.38;13.44;13.46;15.07;15.54
&nbspP/VP;2.59;2.11;2.75;3.23;3.99;3.93;3.76;2.45;3.46;2.97;2.15;2.03;1.92;1.98;1.46;1.91;2.20;2.64;2.76;2.10;1.94
&nbspROE;12%;26%;27%;27%;34%;18%;29%;18%;20%;22%;20%;18%;19%;21%;22%;19%;19%;19%;20%;13%;14%
&nbspDiv. Yield;3,15%;4,31%;3,86%;2,30%;14,58%;1,78%;4,20%;5,90%;1,86%;2,44%;3,12%;3,71%;3,44%;3,18%;6,27%;5,23%;3,66%;6,42%;7,57%;4,08%;1,76%
&nbspDiv. Payout;0%;0%;0%;0%;0%;0%;0%;0%;38%;32%;36%;41%;34%;32%;30%;36%;120%;81%;98%;64%;23%
&nbspBeta;0.70;0.92;0.70;0.77;0.83;1.15;1.02;1.09;1.11;1.03;1.03;0.96;0.78;1.19;1.19;1.18;1.14;1.17;1.02;0.88;1.25
&nbspValorização;1%;-4%;76%;47%;41%;40%;20%;-21%;50%;1%;-11%;1%;3%;25%;-10%;57%;32%;27%;8%;-14%;-1%
&nbspNegócios/dia;276;442;389;482;526;1247;2121;5280;8052;9007;14458;17310;21077;24914;31660;28345;23276;30089;37353;55916;53403
&nbspVolume diário;15;21;21;30;57;63;102;145;178;203;272;289;323;415;477;435;427;647;731;1032;1107
