Unnamed: 0;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;1.10;2.26;2.78;-5.12;-4.65;-2.19;-11.05;2.60;-1.27;9.87;7.94;4.07;4.90
&nbspP/L;28.73;11.86;9.65;-2.05;-2.14;-3.73;-0.94;9.96;-17.81;2.85;4.81;9.09;8.97
&nbspVPA;61.27;62.29;57.08;49.74;44.87;42.03;30.86;32.58;31.61;41.41;52.78;47.01;46.58
&nbspP/VP;0.52;0.43;0.47;0.21;0.22;0.19;0.34;0.79;0.72;0.68;0.72;0.79;0.94
&nbspP/EBIT;8.86;6.87;7.85;-1.78;-2.59;-5.65;-1.13;1.95;6.15;2.08;6.12;6.73;7.12
&nbspP/EBITDA;6.33;5.05;5.72;-2.30;-3.64;-61.71;-1.32;1.77;4.55;1.91;5.04;5.54;6.02
&nbspP/Ativos;0.26;0.21;0.22;0.08;0.10;0.08;0.09;0.21;0.18;0.21;0.29;0.32;0.39
&nbspEbitda;5676;6004;6350;-6173;-3690;-179;-10702;19797;6744;19990;10257;10487;11460
&nbspMarg. Ebitda;22%;20%;19%;-16%;-13%;-1%;-33%;33%;18%;80%;37%;36%;38%
&nbspPSR;1.39;1.02;1.10;0.36;0.48;0.37;0.43;0.58;0.81;1.53;1.87;2.00;2.27
&nbspROE;2%;4%;5%;-10%;-10%;-5%;-36%;8%;-4%;24%;15%;9%;11%
&nbspROA;1%;2%;2%;-4%;-5%;-2%;-10%;2%;-1%;7%;6%;4%;4%
&nbspROIC;3%;4%;3%;-5%;-4%;-2%;-10%;12%;3%;11%;5%;5%;6%
&nbspEV/EBIT;21.13;20.15;21.20;-13.82;-18.53;-54.54;-8.87;6.19;21.95;6.52;12.68;11.84;10.22
&nbspEV/EBITDA;15.09;14.81;15.45;-17.79;-26.07;-595.29;-10.40;5.61;16.25;5.97;10.44;9.74;8.64
&nbspDiv. Yield;5,36%;6,95%;6,37%;16,13%;16,82%;20,66%;0,96%;0,00%;7,18%;0,00%;3,63%;7,65%;12,39%
&nbspDiv. Payout;111%;123%;108%;-73%;-67%;-27%;0%;0%;-22%;0%;11%;0%;0%
&nbspBeta;0.50;0.68;0.61;0.48;0.98;1.17;1.01;0.72;1.44;1.77;1.25;1.11;1.02
&nbspValorização;32%;-14%;5%;-57%;8%;-2%;33%;162%;-6%;29%;23%;0%;31%
&nbspNegócios/dia;2353;2216;2583;3933;5488;5355;4326;5457;5474;8422;11545;13543;14207
&nbspVolume diário;26;23;19;22;21;17;14;32;35;54;94;102;135
