Unnamed: 0;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;2.24;1.44;1.32;1.81;2.21;2.00;1.93;1.69;2.07;1.61;2.57;2.56;3.29;1.78;1.83
&nbspP/L;4.91;3.88;11.11;9.74;9.05;7.75;6.51;8.58;2.83;6.40;5.79;8.66;6.59;8.20;7.25
&nbspVPA;6.83;7.53;8.33;9.43;10.76;11.97;12.59;13.86;15.17;15.75;17.19;17.79;19.05;20.40;20.98
&nbspP/VP;1.61;0.74;1.76;1.87;1.86;1.30;1.00;1.05;0.39;0.66;0.87;1.25;1.14;0.71;0.63
&nbspROE;33%;19%;16%;19%;21%;17%;15%;12%;14%;10%;15%;14%;17%;9%;9%
&nbspDiv. Yield;0,00%;12,86%;3,81%;4,08%;3,85%;5,67%;5,40%;5,72%;15,53%;5,91%;5,30%;5,28%;3,88%;2,06%;2,19%
&nbspDiv. Payout;0%;0%;42%;36%;32%;36%;0%;10%;43%;38%;28%;16%;41%;30%;35%
&nbspBeta;0.57;0.81;0.62;0.90;0.88;0.92;0.52;0.79;1.13;1.27;1.36;1.10;1.08;0.99;0.90
&nbspValorização;-1%;-44%;174%;27%;17%;-16%;-17%;22%;-55%;99%;46%;60%;-2%;-33%;-7%
&nbspNegócios/dia;176;239;756;1166;1545;2138;2992;3477;4739;3563;3343;4993;5572;7919;6118
&nbspVolume diário;7;6;7;10;10;12;14;12;11;9;17;25;28;33;29
