Unnamed: 0;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;-1.69;3.27;1.67;0.99;0.83;-5.13;-6.48;-8.62;-8.06;10.02;-1.53;-1.77;-1.31
&nbspP/L;-9.90;3.67;6.51;8.37;4.32;-1.68;-0.30;-0.26;-0.43;0.13;-0.81;-1.59;-1.68
&nbspVPA;16.43;18.80;17.56;6.30;6.41;22.49;17.45;15.08;-16.36;9.32;2.99;1.30;0.72
&nbspP/VP;1.02;0.64;0.62;1.32;0.56;0.38;0.11;0.15;-0.21;0.14;0.41;2.16;3.05
&nbspP/EBIT;-9.38;2.94;4.18;3.14;1.22;1.30;0.60;30.46;-1.21;-0.59;-2.46;-9.27;-7.03
&nbspP/EBITDA;13.81;2.06;2.51;1.87;0.67;0.72;0.21;0.29;1.04;5.70;1.88;6.64;2.22
&nbspP/Ativos;0.41;0.27;0.21;0.22;0.09;0.07;0.02;0.02;0.04;0.05;0.10;0.23;0.18
&nbspEbitda;731;3516;2612;7988;9565;10210;7794;6377;2748;543;3897;2530;5875
&nbspMarg. Ebitda;7%;34%;28%;32%;34%;36%;28%;25%;12%;2%;19%;27%;87%
&nbspPSR;0.93;0.71;0.71;0.59;0.23;0.26;0.06;0.07;0.12;0.14;0.36;1.81;1.92
&nbspROE;-10%;17%;10%;16%;13%;-23%;-37%;-57%;49%;108%;-51%;-136%;-182%
&nbspROA;-4%;7%;3%;3%;2%;-4%;-6%;-9%;-10%;38%;-13%;-14%;-11%
&nbspROIC;-5%;12%;7%;8%;8%;6%;4%;0%;-4%;-9%;-5%;-3%;-3%
&nbspEV/EBIT;-10.86;3.93;6.61;7.53;8.00;7.50;19.43;815.66;-24.13;-4.03;-8.50;-17.33;-18.56
&nbspEV/EBITDA;15.99;2.75;3.97;4.49;4.42;4.17;6.74;7.80;20.73;39.07;6.50;12.40;5.86
&nbspDiv. Yield;0,00%;0,00%;2,76%;18,39%;22,56%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
&nbspDiv. Payout;-26%;0%;46%;135%;86%;0%;-1%;-1%;-1%;0%;0%;0%;0%
&nbspBeta;0.82;0.72;0.80;0.68;1.20;0.83;1.05;0.58;0.83;0.73;0.56;0.61;1.11
&nbspValorização;17%;-30%;-9%;-16%;-50%;-75%;-77%;22%;50%;-63%;-5%;127%;-27%
&nbspNegócios/dia;1231;1508;2140;7659;12700;13123;6621;3493;2551;1653;2005;3671;1671
&nbspVolume diário;9;11;11;40;49;69;20;16;15;5;5;19;10
