Unnamed: 0;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;7.31;8.65;11.10;7.41;5.30;6.50;3.48;0.71;1.63;1.23;0.88;0.99;0.87;-2.72;-1.68;-0.20;1.35;0.71;1.39;2.70
&nbspP/L;3.64;5.97;3.74;4.01;5.88;6.53;3.46;31.29;10.26;9.95;17.50;15.17;9.21;-1.28;-4.71;-52.92;9.05;24.14;14.60;9.65
&nbspVPA;38.73;32.80;25.79;22.94;19.22;25.12;17.63;15.49;13.39;15.55;16.93;18.79;19.51;18.95;14.12;13.89;15.08;15.80;18.08;20.17
&nbspP/VP;0.69;1.57;1.61;1.29;1.62;1.69;0.68;1.43;1.25;0.79;0.91;0.80;0.41;0.18;0.56;0.75;0.81;1.08;1.12;1.29
&nbspP/EBIT;1.52;4.28;2.66;3.01;5.15;5.71;2.11;37.12;6.92;7.25;11.16;9.33;4.73;-1.83;-8.30;16.20;5.20;9.24;6.71;5.41
&nbspP/EBITDA;0.00;0.00;0.00;2.52;4.11;4.51;1.71;12.14;4.56;4.49;6.28;5.38;2.67;-9.66;15.10;5.59;3.54;5.60;4.58;4.15
&nbspP/Ativos;0.21;0.54;0.66;0.60;0.77;0.68;0.29;0.71;0.59;0.42;0.49;0.44;0.22;0.08;0.25;0.35;0.41;0.54;0.55;0.66
&nbspEbitda;0;0;0;5203;5017;6249;10024;2592;5538;4651;4176;4784;5126;-608;900;3193;5939;5258;7616;10792
&nbspMarg. Ebitda;0%;0%;0%;24%;21%;20%;24%;10%;18%;13%;11%;12%;12%;-1%;2%;9%;13%;13%;17%;21%
&nbspPSR;0.33;0.57;0.62;0.62;0.88;0.92;0.41;1.19;0.80;0.59;0.69;0.65;0.32;0.13;0.36;0.48;0.46;0.74;0.80;0.88
&nbspROE;19%;26%;43%;32%;28%;26%;20%;5%;12%;8%;5%;5%;4%;-14%;-12%;-1%;9%;4%;8%;13%
&nbspROA;6%;9%;18%;15%;13%;10%;8%;2%;6%;4%;3%;3%;2%;-7%;-5%;-1%;5%;2%;4%;7%
&nbspROIC;15%;14%;28%;22%;16%;13%;14%;2%;9%;7%;5%;5%;5%;-5%;-4%;3%;9%;7%;10%;15%
&nbspEV/EBIT;30.10;33.13;12.87;13.88;15.47;13.95;9.37;79.52;17.94;21.54;27.72;23.74;22.97;-22.54;-41.20;59.99;15.93;19.68;12.09;7.65
&nbspEV/EBITDA;0.00;0.00;0.00;11.64;12.35;11.01;7.60;26.01;11.81;13.33;15.59;13.67;12.99;-119.25;74.93;20.69;10.86;11.92;8.24;5.87
&nbspDiv. Yield;8,76%;4,88%;5,49%;7,85%;4,56%;3,11%;10,29%;1,35%;2,27%;2,69%;1,95%;1,52%;3,11%;6,32%;0,63%;0,48%;2,04%;1,64%;1,58%;3,15%
&nbspDiv. Payout;0%;0%;0%;33%;30%;15%;33%;33%;41%;26%;35%;25%;31%;-8%;-3%;-26%;26%;40%;11%;14%
&nbspBeta;0.61;0.53;0.36;0.84;0.98;0.90;1.14;1.25;1.22;1.21;1.04;0.77;0.61;1.10;1.48;1.16;0.91;0.68;0.93;0.83
&nbspValorização;25%;170%;73%;19%;66%;42%;-38%;75%;-24%;-27%;26%;-6%;-45%;-56%;139%;36%;15%;41%;17%;25%
&nbspNegócios/dia;2;2;13;120;122;184;484;756;770;668;388;427;223;646;593;921;266;160;393;708
&nbspVolume diário;0;0;0;2;3;4;7;5;7;5;2;2;1;2;2;4;1;1;2;4
