Unnamed: 0;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;1.65;9.19;9.24;7.27;17.85;17.76;5.87;6.54;5.53;3.68;3.79;2.75;2.54;1.61;1.76;-1.68;-2.70;-1.00;0.03;2.05;3.14;0.48;4.39
&nbspP/L;242.01;5.28;5.68;7.27;4.71;6.00;7.03;8.33;18.98;7.48;11.00;11.10;9.06;12.17;9.07;-5.71;-3.18;-16.94;585.10;12.41;10.19;60.25;6.76
&nbspVPA;16.57;23.22;26.71;31.05;46.50;58.85;19.37;23.94;27.39;16.07;18.36;23.78;25.47;26.48;26.78;23.82;19.77;19.38;20.67;21.74;22.93;23.85;24.55
&nbspP/VP;24.14;2.09;1.97;1.70;1.81;1.81;2.13;2.28;3.83;1.71;2.27;1.28;0.90;0.74;0.60;0.40;0.43;0.87;0.82;1.17;1.40;1.21;1.21
&nbspP/EBIT;162.09;3.75;4.43;5.34;3.21;3.91;4.55;5.70;12.68;4.93;8.02;8.74;6.78;8.10;6.07;-5.71;-8.48;13.41;5.84;5.11;5.11;7.58;3.00
&nbspP/EBITDA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4.61;9.78;3.94;6.06;6.59;4.84;4.79;3.32;14.28;4.40;3.40;2.75;3.05;2.98;3.49;2.07
&nbspP/Ativos;7.67;0.79;0.76;0.59;0.68;0.79;0.99;1.14;1.99;0.83;1.06;0.77;0.50;0.38;0.28;0.16;0.12;0.27;0.27;0.39;0.45;0.38;0.39
&nbspEbitda;0;0;0;0;0;0;0;51814;47118;61294;60323;60456;61968;53242;62824;8760;25386;65025;80251;108522;140203;107926;187142
&nbspMarg. Ebitda;0%;0%;0%;0%;0%;0%;0%;33%;28%;28%;33%;28%;25%;19%;21%;3%;8%;23%;28%;31%;46%;40%;66%
&nbspPSR;14.68;1.06;0.99;0.83;0.96;1.08;1.33;1.51;2.70;1.12;2.00;1.87;1.23;0.91;0.68;0.37;0.35;0.78;0.78;0.95;1.38;1.38;1.37
&nbspROE;10%;40%;35%;23%;38%;30%;30%;27%;20%;23%;21%;12%;10%;6%;7%;-7%;-14%;-5%;0%;9%;14%;2%;18%
&nbspROA;3%;15%;13%;8%;14%;13%;14%;14%;10%;11%;10%;7%;6%;3%;3%;-3%;-4%;-2%;0%;3%;4%;1%;6%
&nbspROIC;5%;22%;18%;12%;22%;22%;23%;21%;17%;18%;14%;10%;8%;5%;5%;-3%;-2%;2%;5%;8%;9%;6%;14%
&nbspEV/EBIT;151.42;28.80;31.49;38.90;14.91;14.18;10.86;10.27;11.70;9.20;10.68;9.84;11.07;16.97;17.71;-30.52;-59.05;42.52;17.67;10.11;8.62;14.41;5.52
&nbspEV/EBITDA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;8.32;9.02;7.34;8.06;7.42;7.90;10.03;9.68;76.35;30.68;10.78;8.32;6.04;5.03;6.63;3.80
&nbspDiv. Yield;0,00%;16,85%;6,42%;6,23%;5,51%;4,91%;10,07%;3,80%;1,30%;1,82%;2,50%;3,24%;3,78%;2,66%;0,00%;5,63%;0,00%;0,00%;0,00%;0,98%;0,62%;0,80%;2,66%
&nbspDiv. Payout;0%;0%;0%;0%;0%;0%;0%;0%;0%;19%;46%;26%;32%;30%;25%;-40%;0%;-2%;143%;11%;20%;107%;4%
&nbspBeta;0.00;0.62;0.59;0.85;0.79;0.80;0.75;0.93;0.95;1.10;1.06;0.93;0.98;1.21;1.28;1.84;2.08;1.84;1.30;1.53;1.16;1.43;1.56
&nbspValorização;452%;26%;13%;6%;72%;29%;66%;33%;93%;-47%;43%;-24%;-22%;-14%;-19%;-37%;-5%;95%;2%;48%;21%;-11%;4%
&nbspNegócios/dia;101;226;214;240;262;398;393;787;1422;3789;4919;6337;8372;11276;15544;23860;26111;19532;13013;17908;16576;35177;34217
&nbspVolume diário;6;24;21;21;20;31;31;54;106;162;151;166;144;144;175;260;191;157;126;271;306;495;634
