Unnamed: 0;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;1.06;0.87;1.10;0.57;0.05;0.07;0.08;0.47;0.51;0.55;0.57;0.67;0.73;0.66
&nbspP/L;5.08;8.03;5.53;10.62;9.17;6.67;4.87;3.69;5.22;6.93;7.42;10.04;8.25;8.98
&nbspVPA;3.74;4.40;5.22;5.51;0.58;0.61;0.67;3.67;3.99;4.41;4.72;5.09;5.42;5.58
&nbspP/VP;1.44;1.59;1.17;1.11;0.85;0.75;0.61;0.48;0.67;0.87;0.90;1.33;1.11;1.07
&nbspROE;28%;20%;21%;10%;9%;11%;13%;13%;13%;13%;12%;13%;13%;12%
&nbspDiv. Yield;2,04%;3,86%;3,61%;6,23%;42,86%;0,00%;0,00%;8,57%;4,89%;6,51%;5,18%;4,43%;2,65%;0,00%
&nbspDiv. Payout;9%;5%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;32%;35%
&nbspBeta;0.49;0.42;0.31;0.81;0.15;0.23;-0.05;-2.18;0.22;0.21;0.56;0.34;0.44;0.04
&nbspValorização;-42%;34%;-9%;6%;-8%;-3%;-9%;-6%;58%;51%;18%;70%;-7%;0%
&nbspNegócios/dia;6;10;4;7;7;4;5;4;4;7;6;13;26;21
&nbspVolume diário;0;0;0;0;0;0;0;0;0;0;0;0;0;0
