Unnamed: 0;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.23;0.66;0.54;0.77;0.82;0.82;0.57;0.63;0.65;0.65;0.66;0.77;0.68;0.33;0.25;0.10;0.24;0.09;0.21;0.22;0.10;0.07
&nbspP/L;9.94;4.92;7.81;6.20;8.35;7.14;10.40;11.43;4.91;10.41;10.53;9.20;19.04;15.49;13.17;18.11;11.32;45.02;19.66;20.00;29.86;49.64
&nbspVPA;2.46;2.64;3.10;3.44;3.86;4.22;2.43;2.68;3.12;3.27;2.16;2.62;2.93;1.72;1.88;2.09;2.02;2.08;2.31;2.49;2.75;2.80
&nbspP/VP;0.93;1.23;1.37;1.39;1.77;1.38;2.45;2.68;1.02;2.06;3.24;2.70;4.40;2.97;1.77;0.89;1.36;1.91;1.77;1.81;1.04;1.24
&nbspP/EBIT;3.63;2.44;2.24;6.92;6.99;8.12;9.93;11.34;3.13;10.34;8.57;7.39;14.71;11.50;11.14;9.87;8.31;49.89;12.54;16.91;15.80;36.00
&nbspP/EBITDA;0.00;0.00;0.00;0.00;0.00;6.01;8.17;9.24;2.58;8.41;7.83;6.82;13.11;10.46;9.67;7.76;7.17;30.84;10.43;12.61;10.12;15.53
&nbspP/Ativos;0.32;0.32;0.45;0.50;0.65;0.50;0.92;0.79;0.29;0.61;1.03;0.94;1.64;1.11;0.67;0.33;0.51;0.78;0.73;0.82;0.46;0.55
&nbspEbitda;0;0;0;0;0;108;163;174;274;180;398;464;440;435;306;213;354;120;362;338;269;211
&nbspMarg. Ebitda;0%;0%;0%;0%;0%;6%;9%;8%;11%;9%;13%;14%;12%;12%;9%;8%;14%;4%;9%;8%;7%;6%
&nbspPSR;0.23;0.25;0.32;0.42;0.48;0.38;0.76;0.76;0.28;0.73;1.05;0.94;1.51;1.24;0.87;0.60;0.98;1.28;0.90;0.99;0.76;0.94
&nbspROE;9%;25%;18%;22%;21%;19%;24%;24%;21%;20%;31%;29%;23%;19%;13%;5%;12%;4%;9%;9%;3%;2%
&nbspROA;3%;6%;6%;8%;8%;7%;9%;7%;6%;6%;10%;10%;9%;7%;5%;2%;5%;2%;4%;4%;2%;1%
&nbspROIC;10%;15%;22%;8%;10%;7%;10%;8%;10%;6%;18%;20%;15%;13%;8%;5%;9%;2%;8%;7%;4%;2%
&nbspEV/EBIT;65.54;32.83;17.19;46.46;32.71;45.79;27.87;28.87;19.42;30.58;10.57;8.86;10.26;10.80;16.68;26.16;13.34;54.15;13.92;15.23;24.40;47.37
&nbspEV/EBITDA;0.00;0.00;0.00;0.00;0.00;33.92;22.93;23.52;16.05;24.85;9.66;8.17;9.14;9.83;14.48;20.55;11.51;33.48;11.57;11.36;15.63;20.43
&nbspDiv. Yield;4,35%;0,00%;4,48%;7,50%;4,97%;6,53%;3,87%;4,58%;7,57%;4,74%;5,58%;5,36%;2,64%;2,35%;4,80%;3,78%;4,74%;0,50%;2,70%;1,33%;5,57%;1,45%
&nbspDiv. Payout;0%;0%;0%;0%;0%;42%;30%;35%;41%;54%;25%;43%;55%;46%;54%;95%;53%;21%;17%;38%;76%;92%
&nbspBeta;0.22;0.16;0.26;0.17;0.58;0.31;0.35;0.62;0.88;0.62;0.67;0.81;0.68;0.44;0.71;0.72;0.79;0.86;0.82;0.69;1.05;0.92
&nbspValorização;18%;50%;47%;20%;45%;-9%;115%;25%;-52%;115%;111%;5%;87%;-23%;-29%;-38%;66%;44%;6%;8%;-34%;20%
&nbspNegócios/dia;7;7;13;53;44;48;82;202;230;286;781;1579;2785;4429;6298;5632;4954;4899;3947;4897;8670;5199
&nbspVolume diário;0;0;0;1;1;1;2;3;2;3;5;8;13;16;16;10;9;14;11;15;31;23
