Unnamed: 0;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.26;0.42;0.25;0.41;0.55;0.48;0.19;0.21;0.28;0.12;1.18;0.48;0.54
&nbspP/L;13.66;8.21;11.85;7.71;7.12;8.40;13.34;14.31;16.33;36.93;8.43;15.41;12.98
&nbspVPA;1.15;1.14;1.21;1.42;1.64;1.42;1.67;1.69;1.58;1.46;2.01;1.28;1.46
&nbspP/VP;3.04;3.04;2.44;2.24;2.37;2.82;1.56;1.78;2.94;2.95;4.96;5.71;4.76
&nbspP/EBIT;11.41;6.86;12.24;5.46;5.47;5.70;9.44;14.88;18.01;27.04;21.19;11.24;9.67
&nbspP/EBITDA;8.48;5.88;8.57;4.63;4.75;4.96;6.68;9.20;11.75;15.82;17.47;9.75;8.48
&nbspP/Ativos;1.21;1.08;0.84;0.80;0.89;0.97;0.60;0.69;1.02;0.83;1.96;1.55;1.36
&nbspEbitda;621;890;516;1030;1230;1212;585;492;595;408;858;1129;1235
&nbspMarg. Ebitda;9%;12%;7%;12%;13%;13%;6%;5%;6%;7%;11%;12%;12%
&nbspPSR;0.79;0.71;0.59;0.56;0.63;0.62;0.42;0.49;0.74;1.04;1.94;1.19;1.05
&nbspROE;22%;37%;21%;29%;33%;34%;12%;12%;18%;8%;59%;37%;37%
&nbspROA;9%;13%;7%;10%;12%;12%;4%;5%;6%;2%;23%;10%;10%
&nbspROIC;20%;28%;13%;27%;35%;35%;11%;9%;12%;5%;20%;53%;61%
&nbspEV/EBIT;25.68;15.55;32.32;13.74;10.69;11.14;28.88;38.91;29.18;49.12;15.86;10.87;9.40
&nbspEV/EBITDA;19.08;13.32;22.62;11.64;9.28;9.68;20.43;24.05;19.04;28.74;13.07;9.43;8.25
&nbspDiv. Yield;7,71%;11,21%;5,44%;6,62%;9,00%;17,75%;5,00%;0,00%;10,97%;3,26%;5,22%;16,67%;6,31%
&nbspDiv. Payout;108%;99%;67%;54%;68%;155%;71%;1%;183%;120%;45%;81%;71%
&nbspBeta;0.01;0.07;-0.13;0.13;0.18;0.13;0.04;0.30;0.11;0.17;0.84;0.66;0.27
&nbspValorização;33%;11%;-11%;19%;23%;28%;-35%;15%;71%;-5%;156%;-15%;-3%
&nbspNegócios/dia;3;3;4;5;7;5;6;8;5;6;14;58;54
&nbspVolume diário;0;0;0;0;0;0;0;0;0;0;0;0;0
