Unnamed: 0;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;5.50;3.70;6.00;5.54;0.22;2.36;3.22;30.06;8.42;11.51;2.70;5.13;5.40
&nbspP/L;9.40;14.89;9.66;5.96;124.53;17.61;14.20;2.16;7.95;6.01;8.35;5.42;4.70
&nbspVPA;27.78;30.05;29.73;33.26;32.18;32.42;34.20;62.51;67.99;68.60;20.89;21.44;20.74
&nbspP/VP;1.86;1.83;1.95;0.99;0.84;1.28;1.34;1.04;0.98;1.01;1.08;1.30;1.22
&nbspP/EBIT;6.96;7.29;6.23;3.50;-19.76;14.90;11.98;1.45;5.38;4.63;6.35;4.14;3.56
&nbspP/EBITDA;5.77;7.14;6.09;3.42;-20.33;14.64;11.84;1.44;5.36;4.62;6.30;4.06;3.49
&nbspP/Ativos;1.23;1.21;1.05;0.51;0.59;0.94;1.00;0.71;0.64;0.61;0.69;0.75;0.63
&nbspEbitda;1351;1172;1455;1472;-202;457;623;7402;2057;2468;2361;4518;4791
&nbspMarg. Ebitda;82%;52%;50%;52%;-21%;41%;48%;95%;76%;78%;71%;122%;120%
&nbspPSR;4.71;3.71;3.05;1.79;4.19;6.07;5.73;1.37;4.08;3.58;4.50;4.96;4.20
&nbspROE;20%;12%;20%;17%;1%;7%;9%;48%;12%;17%;13%;24%;26%
&nbspROA;13%;8%;11%;9%;0%;5%;7%;33%;8%;10%;8%;14%;13%
&nbspROIC;18%;17%;17%;15%;-3%;7%;9%;50%;12%;14%;12%;20%;19%
&nbspEV/EBIT;16.30;16.20;13.92;14.22;-85.78;39.89;29.03;2.42;9.05;7.94;7.61;4.34;4.50
&nbspEV/EBITDA;13.51;15.85;13.59;13.91;-88.27;39.18;28.68;2.41;9.01;7.91;7.55;4.25;4.41
&nbspDiv. Yield;8,31%;9,18%;10,19%;10,76%;4,87%;3,42%;4,97%;2,31%;4,54%;18,16%;6,69%;6,26%;12,30%
&nbspDiv. Payout;77%;99%;100%;63%;0%;111%;70%;2%;46%;109%;51%;22%;32%
&nbspBeta;0.29;0.37;0.36;0.05;0.63;0.46;0.52;0.34;0.42;0.45;0.50;0.44;0.48
&nbspValorização;31%;18%;15%;-39%;-16%;67%;18%;50%;9%;23%;38%;31%;-6%
&nbspNegócios/dia;808;693;747;1261;1082;1245;1909;2615;2078;2308;4843;7364;6136
&nbspVolume diário;10;7;7;15;8;8;15;28;24;27;34;42;40
