Unnamed: 0;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;-1.69;6.26;14.19;17.97;11.56;9.71;6.57;2.51;1.61;0.41;-0.54;0.02;0.21;-3.73;-0.46;0.25;0.66;0.30;1.03;2.33
&nbspP/L;-3.76;3.91;3.52;2.85;8.30;8.55;3.94;19.96;13.30;41.70;-25.46;680.28;58.12;-1.08;-18.00;42.81;17.27;32.72;15.21;8.38
&nbspVPA;14.51;18.75;28.00;40.28;47.94;38.25;30.62;32.76;19.28;19.26;18.72;19.07;19.00;15.18;12.12;12.12;12.53;12.42;13.44;14.37
&nbspP/VP;0.44;1.31;1.79;1.27;2.00;2.17;0.84;1.53;1.11;0.89;0.73;0.65;0.65;0.26;0.68;0.89;0.91;0.79;1.17;1.36
&nbspP/EBIT;0.67;2.03;2.12;2.00;5.61;6.11;2.35;21.33;9.85;24.43;-97.95;17.44;17.18;-1.09;-47.05;15.35;12.54;12.99;6.71;5.10
&nbspP/EBITDA;0.00;0.00;0.00;0.00;0.00;5.88;2.02;12.24;7.12;10.92;15.73;6.91;6.67;-1.71;10.40;6.60;6.60;6.36;4.71;4.05
&nbspP/Ativos;0.09;0.35;0.65;0.62;1.11;1.32;0.46;0.96;0.66;0.51;0.41;0.39;0.40;0.14;0.39;0.52;0.54;0.47;0.66;0.77
&nbspEbitda;0;0;0;0;0;4647;6309;2020;2961;1550;859;1773;1821;-2318;995;2056;2172;1944;4173;6044
&nbspMarg. Ebitda;0%;0%;0%;0%;0%;34%;40%;18%;23%;13%;7%;14%;16%;-23%;12%;19%;16%;13%;26%;31%
&nbspPSR;0.21;0.62;0.90;0.86;1.70;1.98;0.81;2.26;1.63;1.42;1.06;0.95;1.03;0.39;1.22;1.26;1.04;0.83;1.22;1.27
&nbspROE;-12%;33%;51%;45%;24%;25%;21%;8%;8%;2%;-3%;0%;1%;-25%;-4%;2%;5%;2%;8%;16%
&nbspROA;-2%;9%;18%;22%;13%;15%;12%;5%;5%;1%;-2%;0%;1%;-13%;-2%;1%;3%;1%;4%;9%
&nbspROIC;14%;18%;31%;32%;20%;22%;21%;5%;8%;3%;-1%;3%;3%;-15%;-1%;4%;5%;4%;13%;19%
&nbspEV/EBIT;16.13;11.66;5.57;4.85;7.18;5.93;5.63;25.43;12.68;39.69;-198.33;38.90;39.27;-8.21;-130.00;31.96;24.58;28.49;8.55;5.29
&nbspEV/EBITDA;0.00;0.00;0.00;0.00;0.00;5.70;4.85;14.59;9.16;17.75;31.85;15.40;15.25;-12.85;28.75;13.74;12.93;13.95;6.00;4.20
&nbspDiv. Yield;3,46%;6,41%;3,82%;12,57%;4,32%;4,80%;10,06%;2,42%;2,48%;0,82%;0,59%;0,00%;0,00%;0,75%;0,00%;0,00%;0,35%;1,32%;0,25%;0,61%
&nbspDiv. Payout;0%;0%;0%;0%;0%;0%;36%;56%;38%;91%;-18%;583%;73%;-1%;0%;8%;15%;67%;5%;4%
&nbspBeta;1.07;0.49;0.79;0.90;0.70;1.12;1.12;1.19;1.18;1.06;1.41;1.60;0.81;0.79;1.08;0.78;0.69;0.68;0.91;0.80
&nbspValorização;21%;320%;110%;17%;99%;36%;-49%;93%;-15%;-20%;-17%;-15%;6%;-69%;113%;32%;-1%;-16%;58%;25%
&nbspNegócios/dia;2;4;8;12;29;247;928;1791;1528;1849;2271;1695;1181;405;351;46;66;118;691;2163
&nbspVolume diário;0;0;1;1;3;26;30;24;19;16;9;5;4;4;1;0;0;0;2;11
