Unnamed: 0;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.99;1.12;1.38;1.79;2.36;2.75;1.64;3.10;1.15;1.22;1.04;1.10;1.34;1.33;1.11;1.14;1.15;1.26;0.87;1.02
&nbspP/L;3.35;3.16;3.62;4.22;5.42;6.18;6.93;4.44;12.64;11.82;13.93;11.56;7.25;5.28;7.26;9.23;11.52;11.18;14.13;11.20
&nbspVPA;3.76;4.60;5.33;5.91;8.57;9.62;12.44;13.34;6.67;7.33;6.75;6.58;6.92;7.09;6.82;7.52;6.91;6.94;7.21;7.36
&nbspP/VP;0.88;0.77;0.94;1.28;1.49;1.77;0.91;1.03;2.17;1.97;2.15;1.93;1.40;0.99;1.18;1.40;1.93;2.02;1.71;1.56
&nbspP/EBIT;2.04;-2.07;-3.45;-3.84;-4.41;-9.12;-1.66;-2.07;-5.32;-5.21;-5.57;10.54;7.11;5.24;7.25;9.15;11.27;10.75;13.44;10.90
&nbspP/EBITDA;0.00;0.00;0.00;-4.33;-7.61;-10.32;-1.89;-2.26;-5.93;-5.88;-6.30;9.63;6.59;4.90;7.87;8.56;10.40;10.08;12.43;10.14
&nbspP/Ativos;0.09;0.09;0.12;0.15;0.19;0.20;0.07;0.10;0.23;0.20;0.19;1.66;1.22;0.87;1.01;1.20;1.69;1.75;1.43;1.32
&nbspEbitda;0;0;0;-5538;-5344;-5807;-23313;-26555;-10687;-10787;-11145;7217;8974;9699;7584;9182;10752;11720;8351;9516
&nbspMarg. Ebitda;0%;0%;0%;-50%;-43%;-41%;-148%;-137%;-204%;-212%;-197%;136%;179%;199%;162%;185%;200%;234%;142%;147%
&nbspPSR;1.55;1.46;1.71;2.18;3.24;4.27;2.80;3.09;12.09;12.46;12.43;13.14;11.78;9.72;12.73;15.82;20.81;23.60;17.65;14.87
&nbspROE;26%;24%;26%;30%;28%;29%;13%;23%;17%;17%;15%;17%;19%;19%;16%;15%;17%;18%;12%;14%
&nbspROA;3%;3%;3%;4%;3%;3%;1%;2%;2%;2%;1%;14%;17%;16%;14%;13%;15%;16%;10%;12%
&nbspROIC;4%;-5%;-3%;-4%;-4%;-2%;-4%;-5%;-7%;-6%;-5%;16%;18%;17%;15%;14%;16%;17%;12%;13%
&nbspEV/EBIT;20.01;-18.11;-21.33;-15.94;-10.80;-15.19;-3.79;-3.48;0.34;0.60;1.91;15.18;11.98;10.98;12.14;11.76;10.03;9.05;12.98;10.98
&nbspEV/EBITDA;0.00;0.00;0.00;-17.97;-18.63;-17.20;-4.30;-3.79;0.38;0.67;2.17;13.86;11.12;10.26;13.17;11.00;9.26;8.49;12.00;10.21
&nbspDiv. Yield;2,42%;6,48%;4,20%;3,58%;1,95%;1,76%;1,06%;0,94%;1,38%;2,92%;0,48%;2,76%;2,16%;6,54%;4,36%;4,75%;1,95%;8,47%;5,27%;2,27%
&nbspDiv. Payout;0%;0%;0%;28%;25%;27%;45%;33%;36%;38%;31%;27%;23%;28%;35%;37%;68%;95%;62%;24%
&nbspBeta;0.08;-0.08;0.45;-0.06;0.44;0.67;0.52;0.46;0.54;0.47;0.41;0.00;1.19;1.09;0.99;0.91;0.94;0.75;0.51;0.77
&nbspValorização;-2%;9%;47%;57%;74%;47%;-22%;37%;11%;8%;11%;0%;-11%;-14%;36%;36%;37%;11%;-9%;-5%
&nbspNegócios/dia;2;2;2;3;4;8;7;13;19;14;9;20;35;50;107;230;205;601;926;944
&nbspVolume diário;0;1;0;1;2;0;0;0;14;1;0;1;1;0;1;21;1;3;3;2
