Unnamed: 0;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;3.74;0.71;-0.44;0.82;1.50;1.94;1.08;2.93;1.88;0.20;0.17;0.25;0.45;0.41;0.37;0.43;0.30;0.06;0.02;0.05;0.14;0.36;0.17;0.10
&nbspP/L;2.09;7.78;-7.67;5.05;5.86;14.44;45.70;28.81;56.80;84.18;30.95;51.34;27.78;31.46;48.54;32.11;43.39;218.71;614.05;255.78;105.52;54.25;121.24;219.49
&nbspVPA;12.21;3.08;2.59;3.40;3.41;3.34;2.98;4.67;6.89;0.60;0.53;0.67;0.75;1.55;1.24;1.57;2.58;2.50;2.21;3.82;3.93;4.60;8.50;8.49
&nbspP/VP;0.64;1.79;1.29;1.21;2.58;8.38;16.62;18.10;15.52;28.00;10.08;19.08;16.47;8.29;14.41;8.70;5.08;4.98;5.64;3.44;3.83;4.29;2.41;2.52
&nbspP/EBIT;2.33;-15.57;-23.00;3.58;6.04;9.57;15.97;16.27;25.45;21.49;6.43;11.44;8.36;8.41;13.65;8.91;9.21;7.57;8.73;10.96;14.00;15.02;26.60;32.64
&nbspP/EBITDA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;9.17;7.38;7.28;11.53;7.43;7.48;5.92;6.66;7.82;9.06;10.34;15.17;15.90
&nbspP/Ativos;0.30;0.39;0.22;0.20;0.40;1.00;1.60;2.04;1.82;2.42;0.59;1.38;1.13;1.00;1.52;0.92;0.92;0.71;0.86;0.76;0.85;0.95;0.80;0.91
&nbspEbitda;0;0;0;0;0;0;0;0;0;0;0;1013;1227;1318;1461;1741;2070;2476;2675;2682;2654;3060;2517;2512
&nbspMarg. Ebitda;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;12%;13%;13%;13%;13%;13%;14%;15%;16%;15%;16%;12%;11%
&nbspPSR;0.24;0.31;0.17;0.20;0.38;0.94;1.44;2.04;2.07;2.13;0.55;1.11;0.96;0.94;1.47;0.97;0.96;0.82;0.98;1.23;1.36;1.67;1.79;1.78
&nbspROE;31%;23%;-17%;24%;44%;58%;36%;63%;27%;33%;33%;37%;59%;26%;30%;27%;12%;2%;1%;1%;4%;8%;2%;1%
&nbspROA;15%;5%;-3%;4%;7%;7%;3%;7%;3%;3%;2%;3%;4%;3%;3%;3%;2%;0%;0%;0%;1%;2%;1%;0%
&nbspROIC;15%;-3%;-1%;7%;8%;14%;14%;17%;9%;16%;12%;16%;30%;24%;24%;24%;22%;21%;17%;15%;13%;13%;8%;6%
&nbspEV/EBIT;269.16;-1704.13;-4262.93;541.65;437.75;226.35;209.06;125.15;142.63;78.78;76.75;56.71;40.89;39.27;36.74;31.54;27.13;24.33;24.25;24.95;27.79;23.46;29.64;35.98
&nbspEV/EBITDA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;45.45;36.11;34.00;31.03;26.31;22.05;19.02;18.48;17.80;17.99;16.15;16.91;17.53
&nbspDiv. Yield;0,00%;0,18%;5,07%;0,00%;15,32%;5,04%;2,53%;1,02%;1,42%;4,24%;0,75%;0,31%;0,56%;0,86%;0,62%;0,80%;0,92%;0,88%;0,96%;0,15%;0,53%;0,41%;0,00%;0,00%
&nbspDiv. Payout;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;25%;16%;29%;28%;30%;38%;199%;400%;140%;44%;22%;94%;165%
&nbspBeta;0.00;0.00;0.55;0.37;0.23;0.14;0.07;0.39;0.16;0.48;0.37;0.74;0.65;0.92;0.74;0.71;0.66;0.85;0.73;0.87;0.96;0.81;1.04;0.44
&nbspValorização;19%;-14%;-39%;8%;140%;244%;90%;75%;29%;53%;-68%;136%;-4%;4%;77%;-23%;24%;-5%;29%;5%;19%;32%;0%;7%
&nbspNegócios/dia;3;13;8;5;4;2;3;3;5;11;23;46;106;312;490;794;1568;1732;2267;2962;2576;4042;9507;10370
&nbspVolume diário;0;0;0;0;0;0;0;0;1;2;3;1;2;3;4;9;7;6;7;12;9;17;50;58
