Unnamed: 0;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;-0.01;-0.17;0.11;0.20;0.27;0.72;1.22;1.13;1.21;1.58;1.95;1.35;1.46;1.58;0.42;1.28;0.82;0.00;-0.03;0.30;0.66;0.87;2.41;2.91
&nbspP/L;-27.01;-2.48;4.50;3.15;4.58;3.98;6.11;6.77;7.95;10.92;3.21;11.54;8.44;5.39;29.99;8.99;5.79;0.00;-108.45;23.61;14.11;15.34;6.67;4.66
&nbspVPA;1.21;1.13;1.13;1.19;1.24;1.76;2.67;3.36;4.52;5.42;6.73;7.51;6.71;7.72;7.70;6.81;5.79;5.27;5.47;5.52;5.91;6.29;7.70;8.26
&nbspP/VP;0.15;0.38;0.43;0.53;1.01;1.64;2.80;2.28;2.12;3.18;0.93;2.08;1.83;1.10;1.65;1.69;0.82;0.47;0.63;1.30;1.57;2.13;2.09;1.64
&nbspP/EBIT;13.51;1.65;1.50;1.24;1.89;2.91;4.03;4.94;6.10;8.08;2.20;10.26;6.58;4.46;18.21;6.20;3.88;19.43;56.81;12.98;7.33;8.71;5.48;3.77
&nbspP/EBITDA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4.22;5.22;7.02;1.92;8.32;5.56;3.75;10.92;4.91;2.93;4.56;-11.94;8.04;5.72;6.95;4.66;3.17
&nbspP/Ativos;0.06;0.14;0.15;0.20;0.32;0.60;1.16;0.98;1.11;1.54;0.45;0.97;0.80;0.51;0.71;0.56;0.29;0.14;0.25;0.50;0.55;0.73;0.62;0.49
&nbspEbitda;0;0;0;0;0;0;0;273;297;394;523;301;532;547;280;564;490;162;-100;308;560;667;1194;1482
&nbspMarg. Ebitda;0%;0%;0%;0%;0%;0%;0%;14%;15%;16%;17%;12%;14%;13%;8%;13%;13%;5%;-4%;10%;13%;13%;22%;24%
&nbspPSR;0.25;0.13;0.12;0.14;0.23;0.38;0.69;0.59;0.77;1.09;0.33;1.01;0.80;0.49;0.87;0.65;0.38;0.24;0.45;0.84;0.75;0.91;1.04;0.77
&nbspROE;-1%;-15%;9%;17%;22%;41%;46%;34%;27%;29%;29%;18%;22%;20%;5%;19%;14%;0%;-1%;6%;11%;14%;31%;35%
&nbspROA;0%;-6%;3%;6%;7%;15%;19%;15%;14%;14%;14%;8%;9%;9%;2%;6%;5%;0%;0%;2%;4%;5%;9%;11%
&nbspROIC;0%;9%;11%;17%;18%;22%;32%;22%;20%;20%;21%;10%;20%;17%;6%;13%;12%;1%;1%;6%;12%;13%;18%;20%
&nbspEV/EBIT;2417.07;124.41;102.52;64.37;49.71;33.19;17.77;21.57;19.74;15.16;11.82;22.98;10.68;11.12;32.73;13.26;15.67;160.50;254.86;27.71;13.38;10.56;5.80;5.13
&nbspEV/EBITDA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;18.42;16.89;13.16;10.31;18.63;9.03;9.35;19.63;10.51;11.82;37.68;-53.55;17.17;10.45;8.43;4.92;4.30
&nbspDiv. Yield;0,00%;2,33%;0,00%;4,76%;3,20%;1,04%;3,08%;4,05%;2,92%;1,86%;5,26%;2,63%;2,44%;3,05%;1,73%;2,09%;5,66%;1,63%;0,00%;0,56%;1,19%;2,01%;0,00%;0,00%
&nbspDiv. Payout;0%;0%;0%;0%;0%;0%;0%;23%;18%;14%;17%;35%;12%;23%;82%;18%;40%;0%;-100%;51%;41%;50%;14%;11%
&nbspBeta;0.00;0.00;0.47;0.37;0.07;0.42;0.55;0.35;0.62;0.59;0.75;0.62;0.52;0.81;0.65;0.50;0.73;0.84;1.21;1.44;1.35;0.91;1.25;1.13
&nbspValorização;-69%;117%;15%;31%;105%;144%;170%;5%;29%;82%;-63%;158%;20%;-27%;50%;-9%;-45%;-47%;52%;107%;24%;45%;12%;-12%
&nbspNegócios/dia;14;19;11;5;6;18;47;57;133;216;292;450;882;1475;2208;2619;3155;2588;3618;3802;5094;6831;11887;9328
&nbspVolume diário;0;0;0;0;0;0;1;1;3;5;4;4;7;9;12;13;9;4;7;9;17;24;44;47
