Unnamed: 0;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;-1.17;0.62;1.45;1.90;4.59;4.16;4.01;3.84;3.69;4.30;2.66;4.03;4.88;4.63;3.47;4.09;5.28;7.54;14.29;1.53
&nbspP/L;-6.84;14.00;6.76;7.87;4.68;7.09;5.49;9.51;10.29;7.68;9.46;5.54;5.10;3.46;5.50;5.23;5.64;9.16;4.90;3.65
&nbspVPA;17.27;17.75;18.93;20.57;24.29;27.29;30.30;33.19;41.27;44.10;45.67;47.24;50.00;53.29;55.38;56.75;59.70;64.31;74.00;7.14
&nbspP/VP;0.46;0.49;0.52;0.73;0.89;1.08;0.73;1.10;0.92;0.75;0.55;0.47;0.50;0.30;0.34;0.38;0.50;1.07;0.95;0.78
&nbspP/EBIT;37.75;22.46;4.49;5.14;3.74;5.12;4.12;7.33;10.07;6.65;6.88;4.97;3.98;2.29;2.55;2.73;3.41;5.93;4.50;3.45
&nbspP/EBITDA;0.00;0.00;0.00;3.62;3.01;4.02;3.23;5.70;6.60;4.73;4.45;3.34;2.91;1.69;3.91;2.03;2.59;4.41;3.64;2.70
&nbspP/Ativos;0.26;0.26;0.27;0.37;0.49;0.65;0.45;0.72;0.58;0.47;0.33;0.26;0.27;0.15;0.17;0.18;0.23;0.49;0.41;0.32
&nbspEbitda;0;0;0;1129;1952;2008;1865;1753;1575;1912;1550;1829;2340;2585;1336;2879;3143;4285;5263;5670
&nbspMarg. Ebitda;0%;0%;0%;23%;36%;37%;34%;31%;23%;25%;18%;20%;17%;18%;10%;21%;21%;26%;28%;29%
&nbspPSR;0.82;0.80;0.68;0.84;1.09;1.49;1.10;1.78;1.51;1.16;0.81;0.66;0.49;0.30;0.40;0.42;0.55;1.16;1.03;0.79
&nbspROE;-7%;3%;8%;9%;19%;15%;13%;12%;9%;10%;6%;9%;10%;9%;6%;7%;9%;12%;19%;21%
&nbspROA;-4%;2%;4%;5%;11%;9%;8%;8%;6%;6%;3%;5%;5%;4%;3%;3%;4%;5%;8%;9%
&nbspROIC;1%;1%;7%;8%;14%;13%;11%;10%;7%;8%;6%;6%;7%;8%;7%;7%;7%;9%;10%;10%
&nbspEV/EBIT;329.29;177.77;31.35;23.78;12.38;12.03;12.83;13.63;15.95;12.82;17.95;15.72;12.71;11.92;11.96;11.92;11.02;8.00;5.55;5.25
&nbspEV/EBITDA;0.00;0.00;0.00;16.76;9.98;9.46;10.05;10.59;10.46;9.11;11.60;10.54;9.29;8.80;18.29;8.90;8.39;5.95;4.49;4.10
&nbspDiv. Yield;3,88%;0,00%;1,53%;2,21%;2,00%;3,32%;4,27%;4,11%;1,55%;4,45%;2,70%;9,33%;8,59%;5,25%;5,97%;12,62%;3,56%;2,11%;4,03%;50,45%
&nbspDiv. Payout;0%;0%;0%;19%;9%;26%;25%;39%;20%;34%;31%;54%;50%;24%;39%;45%;21%;18%;16%;15%
&nbspBeta;0.84;0.90;0.86;0.67;0.78;0.63;0.64;0.28;0.35;0.32;0.27;0.74;0.73;0.94;1.13;0.98;0.77;0.67;0.88;0.96
&nbspValorização;-51%;11%;14%;60%;46%;41%;-21%;71%;2%;-10%;-21%;-6%;25%;-31%;32%;21%;50%;136%;7%;-18%
&nbspNegócios/dia;33;61;40;16;19;23;9;13;11;22;45;91;216;210;136;225;357;805;1652;3456
&nbspVolume diário;1;1;1;1;1;1;2;2;1;1;1;1;2;2;1;1;2;8;20;13
