Unnamed: 0;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;-0.78;0.04;0.01;0.05;0.43;0.80;1.05;3.36;3.69;6.02;1.71;3.94;7.92
&nbspP/L;-1.48;15.14;48.46;8.15;1.23;0.59;4.11;2.04;4.30;6.12;20.87;12.99;12.61
&nbspVPA;0.41;0.45;0.46;0.49;0.89;9.29;9.90;15.39;12.83;15.85;14.58;18.42;22.15
&nbspP/VP;2.83;1.30;0.64;0.81;0.60;0.05;0.44;0.45;1.24;2.33;2.45;2.78;4.51
&nbspP/EBIT;96.92;11.01;14.25;5.57;1.14;0.29;2.30;1.01;3.07;4.04;9.12;6.45;7.71
&nbspP/EBITDA;22.39;7.74;6.33;3.94;1.09;0.21;1.74;0.92;2.30;3.34;6.25;5.11;6.63
&nbspP/Ativos;0.15;0.48;0.27;0.43;0.27;0.02;0.22;0.16;0.38;0.83;0.98;1.07;1.95
&nbspEbitda;43;63;38;85;407;183;208;619;576;1007;581;946;1422
&nbspMarg. Ebitda;12%;20%;11%;24%;218%;24%;24%;70%;19%;29%;19%;24%;32%
&nbspPSR;2.68;1.53;0.70;0.94;2.37;0.05;0.42;0.64;0.44;0.97;1.19;1.25;2.15
&nbspROE;-190%;9%;1%;10%;49%;9%;11%;22%;29%;38%;12%;21%;36%
&nbspROA;-10%;3%;1%;5%;22%;4%;5%;8%;9%;14%;5%;8%;15%
&nbspROIC;0%;11%;4%;12%;26%;10%;11%;21%;15%;28%;13%;24%;35%
&nbspEV/EBIT;941.85;198.15;516.27;145.79;24.00;67.35;58.00;15.63;21.30;10.72;22.38;11.14;7.25
&nbspEV/EBITDA;217.56;139.20;229.27;103.18;22.99;50.36;43.77;14.32;15.95;8.85;15.34;8.81;6.23
&nbspDiv. Yield;0,86%;0,00%;0,00%;0,00%;1,89%;4,26%;5,77%;4,67%;31,80%;7,35%;0,84%;2,38%;3,53%
&nbspDiv. Payout;-4%;6%;20%;5%;2%;22%;20%;8%;126%;38%;14%;30%;15%
&nbspBeta;0.40;0.70;0.74;0.44;0.41;0.28;0.23;0.08;0.49;0.63;0.62;1.00;0.66
&nbspValorização;72%;-49%;-51%;44%;28%;-8%;-2%;64%;171%;158%;12%;52%;93%
&nbspNegócios/dia;172;474;226;94;133;103;41;32;175;831;758;1205;2465
&nbspVolume diário;1;4;1;1;1;0;0;0;1;8;6;8;34
