Unnamed: 0;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;1.02;1.08;1.25;1.51;1.42;14.55;6.45;11.25;5.05;3.97;2.48;2.57;2.66;2.89;2.98;2.86;3.60;3.42;2.72;2.18;2.84;2.80;1.87;1.98
&nbspP/L;6.55;13.14;11.20;8.30;7.80;1.04;9.96;6.02;17.13;14.35;9.10;14.13;12.26;10.65;11.80;10.16;9.75;5.64;10.68;15.52;13.61;12.92;14.55;13.18
&nbspVPA;6.39;6.61;5.81;6.78;7.60;85.45;32.07;39.59;24.61;15.04;11.16;13.42;12.77;14.56;18.35;16.90;19.43;17.68;18.09;16.44;18.02;16.58;16.20;14.78
&nbspP/VP;1.05;2.14;2.41;1.84;1.45;0.18;2.00;1.71;3.51;3.79;2.02;2.71;2.56;2.11;1.92;1.72;1.80;1.09;1.60;2.06;2.14;2.18;1.68;1.77
&nbspROE;16%;16%;22%;22%;19%;17%;20%;28%;21%;26%;22%;19%;21%;20%;16%;17%;19%;19%;15%;13%;16%;17%;12%;13%
&nbspDiv. Yield;0,00%;0,00%;4,43%;4,64%;5,88%;6,18%;13,09%;4,77%;3,12%;2,70%;4,21%;2,31%;2,57%;3,41%;2,93%;2,99%;3,68%;7,42%;4,62%;3,72%;2,85%;5,58%;2,65%;2,68%
&nbspDiv. Payout;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;38%;29%;32%;33%;38%;26%;28%;37%;44%;34%;79%;9%;24%
&nbspBeta;0.00;0.00;0.87;0.87;0.95;0.82;0.78;0.78;1.06;1.01;1.02;0.98;1.00;0.97;0.75;0.81;1.32;1.25;1.28;1.23;1.28;1.07;1.11;1.23
&nbspValorização;-39%;106%;4%;-4%;-10%;52%;33%;111%;32%;28%;-43%;50%;8%;-4%;18%;-8%;26%;-28%;60%;34%;27%;14%;-18%;9%
&nbspNegócios/dia;248;317;534;665;759;765;519;821;1633;2677;5253;6866;7327;11263;13892;17578;19738;24477;25354;21673;28974;34165;56869;56100
&nbspVolume diário;7;10;19;19;24;24;29;55;88;138;164;150;140;172;202;241;286;280;311;310;455;643;975;1084
