Unnamed: 0;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;1.34;0.90;0.96;1.33;0.82;1.24;1.31;0.57;1.66;3.25;1.46;4.43;5.24
&nbspP/L;7.78;11.17;12.10;9.66;15.27;11.12;10.66;32.63;16.48;11.40;36.72;11.81;8.91
&nbspVPA;5.11;5.40;5.93;6.82;7.33;12.03;12.41;13.80;13.83;16.66;17.81;20.71;23.07
&nbspP/VP;2.03;1.85;1.97;1.89;1.71;1.14;1.13;1.35;1.97;2.23;3.01;2.53;2.02
&nbspP/EBIT;5.72;6.03;6.06;5.64;6.91;3.55;4.33;5.76;7.59;4.69;8.29;7.03;5.36
&nbspP/EBITDA;4.30;4.33;4.62;4.42;5.01;2.20;2.39;3.53;4.60;3.53;5.55;4.83;3.86
&nbspP/Ativos;0.64;0.61;0.60;0.56;0.56;0.18;0.20;0.32;0.43;0.37;0.49;0.42;0.38
&nbspEbitda;532;508;555;640;621;1555;1565;1820;2053;3818;3500;3931;4390
&nbspMarg. Ebitda;27%;24%;23%;22%;22%;19%;13%;15%;15%;24%;18%;19%;21%
&nbspPSR;1.15;1.02;1.06;0.97;1.09;0.41;0.31;0.54;0.69;0.85;0.98;0.93;0.81
&nbspROE;26%;17%;16%;20%;11%;10%;11%;4%;12%;20%;8%;21%;23%
&nbspROA;8%;5%;5%;6%;4%;2%;2%;1%;3%;3%;1%;4%;4%
&nbspROIC;15%;12%;13%;13%;10%;6%;6%;7%;7%;9%;7%;7%;8%
&nbspEV/EBIT;44.80;49.66;43.55;37.50;42.14;23.38;26.58;19.63;18.53;9.87;13.36;11.48;10.03
&nbspEV/EBITDA;33.70;35.67;33.19;29.40;30.59;14.49;14.70;12.03;11.24;7.42;8.94;7.89;7.22
&nbspDiv. Yield;0,00%;4,50%;3,86%;3,73%;6,40%;5,02%;6,79%;2,21%;2,09%;2,10%;16,29%;1,15%;0,60%
&nbspDiv. Payout;30%;49%;45%;35%;88%;70%;77%;62%;35%;24%;85%;19%;39%
&nbspBeta;-0.76;0.26;0.54;0.18;-0.10;0.31;0.59;0.29;0.70;0.52;0.47;0.81;0.88
&nbspValorização;-23%;-1%;16%;14%;1%;15%;26%;33%;51%;41%;73%;-2%;-8%
&nbspNegócios/dia;8;5;2;2;3;3;3;1048;1665;2611;5128;7932;8599
&nbspVolume diário;0;0;0;0;0;0;0;10;15;30;62;82;81
