Unnamed: 0;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;1.85;2.17;2.34;2.73;0.45;0.17;3.29;-1.91;-1.91;-11.24;-11.87;-6.59;-6.09
&nbspP/L;12.68;14.07;9.61;8.33;43.99;68.63;1.52;-5.24;-2.62;-0.19;-0.40;-0.17;-0.17
&nbspVPA;13.08;14.83;16.30;18.01;18.01;16.51;18.32;18.39;15.80;4.49;-6.44;-8.59;-8.88
&nbspP/VP;1.80;2.06;1.38;1.26;1.11;0.73;0.27;0.54;0.32;0.49;-0.73;-0.13;-0.11
&nbspP/EBIT;7.23;7.45;4.60;4.51;11.67;5.05;-1.44;-53.40;-7.03;-0.28;-0.25;-0.19;-0.18
&nbspP/EBITDA;0.00;0.00;4.53;4.36;10.60;4.64;-1.40;-920.76;-8.88;-0.31;-0.25;-0.21;-0.21
&nbspP/Ativos;0.77;0.79;0.48;0.49;0.43;0.18;0.08;0.20;0.10;0.06;0.15;0.22;0.23
&nbspEbitda;0;0;142;149;54;74;-102;0;-15;-187;-504;-336;-306
&nbspMarg. Ebitda;0%;0%;8%;8%;3%;3%;-6%;0%;-1%;-13%;-75%;-137%;-230%
&nbspPSR;0.54;0.56;0.34;0.34;0.27;0.15;0.08;0.15;0.08;0.04;0.19;0.29;0.49
&nbspROE;14%;15%;14%;15%;3%;1%;18%;-10%;-12%;-250%;184%;77%;69%
&nbspROA;6%;6%;5%;6%;1%;0%;5%;-4%;-4%;-31%;-37%;-126%;-136%
&nbspROIC;15%;15%;15%;15%;5%;6%;-8%;-1%;-2%;-61%;-68%;-190%;-185%
&nbspEV/EBIT;1.86;1.83;2.23;2.26;9.39;8.30;-5.29;-51.21;-15.11;-0.56;-1.00;-0.75;-0.82
&nbspEV/EBITDA;0.00;0.00;2.20;2.18;8.52;7.62;-5.14;-883.00;-19.09;-0.62;-0.99;-0.85;-0.96
&nbspDiv. Yield;6,09%;2,59%;3,91%;4,05%;4,40%;7,42%;0,00%;0,00%;3,60%;10,09%;0,00%;0,00%;0,00%
&nbspDiv. Payout;36%;32%;28%;31%;185%;440%;22%;0%;-8%;0%;0%;0%;0%
&nbspBeta;0.25;-0.52;9.88;-1.26;0.59;0.28;1.28;-0.30;0.12;0.38;-0.49;0.86;0.27
&nbspValorização;28%;30%;-31%;13%;-8%;-43%;-57%;100%;-26%;-51%;114%;-76%;-12%
&nbspNegócios/dia;3;2;4;3;2;3;2;2;4;6;99;357;435
&nbspVolume diário;0;0;0;0;0;0;0;0;0;0;0;1;1
